de [mm],g [mm],Nn [],Nc [],Force1.Force_y [kNewton]
11,0.4,21,26,-36.75826052
11,0.4,21,28,-37.19832863
11,0.5,21,14,-30.78690177
11,0.5,21,16,-31.82048226
11,0.5,21,18,-32.69734611
11,0.5,21,20,-33.47223649
11,0.5,21,22,-34.19251078
11,0.5,21,24,-34.77801863
11,0.5,21,26,-35.31432585
11,0.5,21,28,-35.79644913
11,0.6,21,14,-28.98307953
11,0.6,21,16,-30.11779872
11,0.6,21,18,-31.09159339
11,0.6,21,20,-32.00862578
11,0.6,21,22,-32.66000128
11,0.6,21,24,-33.32726546
11,0.6,21,26,-33.88493419
11,0.6,21,28,-34.43212719
11,0.7,21,14,-27.28013566
11,0.7,21,16,-28.50728533
11,0.7,21,18,-29.53952701
11,0.7,21,20,-30.46375259
11,0.7,21,22,-31.24866459
11,0.7,21,24,-31.99594601
11,0.7,21,26,-32.51214251
11,0.7,21,28,-33.09856781
11,0.8,21,14,-25.55579121
11,0.8,21,16,-26.96246914
11,0.8,21,18,-28.07771441
11,0.8,21,20,-29.04862674
11,0.8,21,22,-29.89806665
11,0.8,21,24,-30.57777993
11,0.8,21,26,-31.19606085
11,0.8,21,28,-31.8084189
11,0.9,21,14,-23.71588744
11,0.9,21,16,-25.47274627
11,0.9,21,18,-26.70387059
11,0.9,21,20,-27.68999201
11,0.9,21,22,-28.59296502
11,0.9,21,24,-29.33361961
11,0.9,21,26,-29.9300757
11,0.9,21,28,-30.58924494
11,1,21,14,-21.88489743
11,1,21,16,-23.97054748
11,1,21,18,-25.27068647
11,1,21,20,-26.40223552
11,1,21,22,-27.32925627
11,1,21,24,-28.09264327
11,1,21,26,-28.77632206
11,1,21,28,-29.41302159
15,0.3,14,14,-42.01568258
15,0.3,14,16,-43.28628054
15,0.3,14,18,-44.25442335
15,0.3,14,20,-45.0969354
15,0.3,14,22,-45.84610166
15,0.3,14,24,-46.48475076
15,0.3,14,26,-47.03230604
15,0.3,14,28,-47.52008191
15,0.4,14,14,-38.84726283
15,0.4,14,16,-40.5602515
15,0.4,14,18,-41.75562615
15,0.4,14,20,-42.69420389
15,0.4,14,22,-43.60295776
15,0.4,14,24,-44.28709577
15,0.4,14,26,-44.96017312
15,0.4,14,28,-45.52749608
15,0.5,14,14,-35.3323883
15,0.5,14,16,-37.58391255
15,0.5,14,18,-39.20795171
15,0.5,14,20,-40.43174629
15,0.5,14,22,-41.39939235
15,0.5,14,24,-42.24301073
15,0.5,14,26,-42.97554699
15,0.5,14,28,-43.5459385
15,0.6,14,14,-31.70689823
15,0.6,14,16,-34.48537223
15,0.6,14,18,-36.51632312
15,0.6,14,20,-38.06173559
15,0.6,14,22,-39.21400881
15,0.6,14,24,-40.18851043
15,0.6,14,26,-40.9863144
15,0.6,14,28,-41.6296187
15,0.7,14,14,-28.07437272
15,0.7,14,16,-31.21661372
15,0.7,14,18,-33.69286563
15,0.7,14,20,-35.57497599
15,0.7,14,22,-37.01370758
15,0.7,14,24,-38.17389621
15,0.7,14,26,-39.06244636
15,0.7,14,28,-39.77664729
15,0.8,14,14,-24.29847923
15,0.8,14,16,-28.04505143
15,0.8,14,18,-30.78990796
15,0.8,14,20,-32.94465267
15,0.8,14,22,-34.73107612
15,0.8,14,24,-36.13467431
15,0.8,14,26,-37.15515506
15,0.8,14,28,-37.98878353
15,0.9,14,14,-20.79605204
15,0.9,14,16,-24.7438018
15,0.9,14,18,-27.97827114
15,0.9,14,20,-30.36890926
15,0.9,14,22,-32.35772084
15,0.9,14,24,-33.97476717
15,0.9,14,26,-35.26463455
15,0.9,14,28,-36.23628239
15,1,14,14,-17.51601294
15,1,14,16,-21.67852746
15,1,14,18,-25.08038954
15,1,14,20,-27.83239011
15,1,14,22,-29.99245054
15,1,14,24,-31.82905043
15,1,14,26,-33.31662754
15,1,14,28,-34.46362127
15,0.3,15,14,-43.00411446
15,0.3,15,16,-44.18138116
15,0.3,15,18,-45.13073789
15,0.3,15,20,-45.89157437
15,0.3,15,22,-46.64128875
15,0.3,15,24,-47.26869831
15,0.3,15,26,-47.82925257
15,0.3,15,28,-48.35223868
15,0.4,15,14,-40.12825743
15,0.4,15,16,-41.59869108
15,0.4,15,18,-42.73109128
15,0.4,15,20,-43.64620867
15,0.4,15,22,-44.50506575
15,0.4,15,24,-45.22253048
15,0.4,15,26,-45.81422854
15,0.4,15,28,-46.39205206
15,0.5,15,14,-36.94910353
15,0.5,15,16,-38.91368984
15,0.5,15,18,-40.32767596
15,0.5,15,20,-41.41585665
15,0.5,15,22,-42.38856656
15,0.5,15,24,-43.21552206
15,0.5,15,26,-43.8811889
15,0.5,15,28,-44.51202575
15,0.6,15,14,-33.4197891
15,0.6,15,16,-36.02788681
15,0.6,15,18,-37.89843428
15,0.6,15,20,-39.25336219
15,0.6,15,22,-40.31937137
15,0.6,15,24,-41.16053438
15,0.6,15,26,-41.95837759
15,0.6,15,28,-42.61730925
15,0.7,15,14,-30.01326344
15,0.7,15,16,-33.00179789
15,0.7,15,18,-35.31400815
15,0.7,15,20,-37.00171273
15,0.7,15,22,-38.27861161
15,0.7,15,24,-39.32067585
15,0.7,15,26,-40.16508431
15,0.7,15,28,-40.87006371
15,0.8,15,14,-26.49044082
15,0.8,15,16,-29.94755596
15,0.8,15,18,-32.53830979
15,0.8,15,20,-34.66813441
15,0.8,15,22,-36.20068274
15,0.8,15,24,-37.38735014
15,0.8,15,26,-38.33313679
15,0.8,15,28,-39.13220596
15,0.9,15,14,-23.02914506
15,0.9,15,16,-26.928128
15,0.9,15,18,-29.82818278
15,0.9,15,20,-32.14461705
15,0.9,15,22,-34.03521739
15,0.9,15,24,-35.47765465
15,0.9,15,26,-36.56889638
15,0.9,15,28,-37.48077839
15,1,15,14,-19.82098277
15,1,15,16,-23.87006069
15,1,15,18,-27.182721
15,1,15,20,-29.71469582
15,1,15,22,-31.80613864
15,1,15,24,-33.50928226
15,1,15,26,-34.81569006
15,1,15,28,-35.79909988
15,0.3,16,14,-43.81964779
15,0.3,16,16,-44.98404156
15,0.3,16,18,-45.90703746
15,0.3,16,20,-46.71836241
15,0.3,16,22,-47.41650936
15,0.3,16,24,-48.07536129
15,0.3,16,26,-48.60076701
15,0.3,16,28,-49.12545941
15,0.4,16,14,-41.12543029
15,0.4,16,16,-42.47478609
15,0.4,16,18,-43.62213888
15,0.4,16,20,-44.51307693
15,0.4,16,22,-45.36864781
15,0.4,16,24,-46.09168413
15,0.4,16,26,-46.64948638
15,0.4,16,28,-47.23076733
15,0.5,16,14,-38.24977375
15,0.5,16,16,-40.04495684
15,0.5,16,18,-41.35385702
15,0.5,16,20,-42.39260871
15,0.5,16,22,-43.29234051
15,0.5,16,24,-44.15565128
15,0.5,16,26,-44.7572823
15,0.5,16,28,-45.41873387
15,0.6,16,14,-34.99994299
15,0.6,16,16,-37.39612787
15,0.6,16,18,-39.08963012
15,0.6,16,20,-40.25859268
15,0.6,16,22,-41.2913937
15,0.6,16,24,-42.11619278
15,0.6,16,26,-42.95929565
15,0.6,16,28,-43.58234721
15,0.7,16,14,-31.73380373
15,0.7,16,16,-34.58976709
15,0.7,16,18,-36.75298934
15,0.7,16,20,-38.18515789
15,0.7,16,22,-39.35465692
15,0.7,16,24,-40.34794589
15,0.7,16,26,-41.22629614
15,0.7,16,28,-41.86059668
15,0.8,16,14,-28.47265569
15,0.8,16,16,-31.6665989
15,0.8,16,18,-34.23740658
15,0.8,16,20,-36.08620821
15,0.8,16,22,-37.41757392
15,0.8,16,24,-38.49389534
15,0.8,16,26,-39.48334252
15,0.8,16,28,-40.16803611
15,0.9,16,14,-25.11668156
15,0.9,16,16,-28.8068267
15,0.9,16,18,-31.56907655
15,0.9,16,20,-33.78786187
15,0.9,16,22,-35.45874971
15,0.9,16,24,-36.70678281
15,0.9,16,26,-37.74736708
15,0.9,16,28,-38.53974556
15,1,16,14,-21.92354695
15,1,16,16,-25.93528208
15,1,16,18,-29.01955901
15,1,16,20,-31.48606153
15,1,16,22,-33.41820408
15,1,16,24,-34.92305915
15,1,16,26,-36.05346296
15,1,16,28,-36.97485064
15,0.3,17,14,-44.6011068
15,0.3,17,16,-45.7394696
15,0.3,17,18,-46.66004915
15,0.3,17,20,-47.42152574
15,0.3,17,22,-48.15523036
15,0.3,17,24,-48.73444898
15,0.3,17,26,-49.3631968
15,0.3,17,28,-49.86763647
15,0.4,17,14,-42.02601278
15,0.4,17,16,-43.32001518
15,0.4,17,18,-44.45666334
15,0.4,17,20,-45.30678703
15,0.4,17,22,-46.11935476
15,0.4,17,24,-46.8857652
15,0.4,17,26,-47.44555031
15,0.4,17,28,-48.03198893
15,0.5,17,14,-39.3268301
15,0.5,17,16,-40.95788624
15,0.5,17,18,-42.26929958
15,0.5,17,20,-43.28466622
15,0.5,17,22,-44.16752472
15,0.5,17,24,-45.00878511
15,0.5,17,26,-45.65435991
15,0.5,17,28,-46.2830571
15,0.6,17,14,-36.43128433
15,0.6,17,16,-38.54742229
15,0.6,17,18,-40.0900372
15,0.6,17,20,-41.23005606
15,0.6,17,22,-42.22637481
15,0.6,17,24,-43.09153172
15,0.6,17,26,-43.83598321
15,0.6,17,28,-44.49479766
15,0.7,17,14,-33.37725543
15,0.7,17,16,-36.02292353
15,0.7,17,18,-37.83143108
